scientific_name,common_name,granivore,body_mass,num_ind,tewl25_mghr-1,tewl40-mghr-1,log_slope_ewl,activity_phase,reference
Pyrrhula pyrrhula,Eurasian bullfinch,N,12.4,NA,46.7,NA,NA,R,Shilov 1968
Pica pica,Eurasian magpie,N,158.9,9,346.5,2010.6,5,R,Hayworth and Weathers 1983
Carduelis spinus,Eurasian Siskin,Y,16.4,NA,75.4,NA,NA,R,Shilov 1968
Alauda arvensis,Eurasian Skylark,N,31.7,14,204.6,828.4,4.8,R,Tieleman et al. 2002
Passer montanus,Eurasian tree sparrow,N,21.3,NA,92.1,NA,NA,R,Shilov 1968
Carduelis carduelis,European Goldfinch,Y,24.9,NA,70.8,NA,NA,R,Shilov 1968
Carduelis chloris,European Greenfinch,Y,19.7,NA,78.3,NA,NA,R,Shilov 1968
Erithacus rubecula,European robin,N,16.7,NA,77.1,NA,NA,R,Shilov 1968
Cercomela familiaris,Familiar Chat,N,20.5,6,104.6,401.4,3.9,A,Milne et al. 2015
Caprimulgis tristigma,Freckled Nightjar,N,64.7,24,140,472.9,4.5,R,O'Connor et al. 2017
Callipepla gambelii,Gambel’s Quail,Y,160.7,19,670,922.8,5.1,A,Smith et al. 2015
Erythrura gouldiae,Gouldian finch,Y,17.1,14,56.6,275,4.1,A,Burton and Weathers 2003
Bubo virginianus,Great Horned Owl,N,1000,3,1680,5336.1,5.7,A,Ganey et al. 1993
Parus major,Great Tit,N,16.7,NA,83.8,NA,NA,R,Shilov 1968
Alaemon alaudipes,Greater hoopoe-lark,N,37.7,14,120.4,413.8,4.9,R,Tieleman et al. 2002
Rhea americana,greater rhea,N,21700,3,9600,NA,NA,R,Crawford and Lasiewski 1968
Cracticus torquatus,Grey Butcherbird,N,86,16,590,1461.1,5.5,A,McKechnie et al. 2017
Eremophila alpestris,horned lark,N,26,57,158.3,NA,NA,A,Trost 1972
Chlamydotis undulata,Houbara Bustard,N,1245,7,1210.4,3854.2,6.1,R,Tieleman et al. 2002
Haemorhous mexicanus,House Finch,Y,18.1,38,130,318.2,4.4,A,Smith et al. 2017
Troglodytes aedon,House wren,N,9.7,2,145.5,242.5,NA,A,Kendeigh 1939
Spheniscus humboldti,Humboldt's penguin,N,3870,3,1625,NA,NA,R,"Drent and Stonehouse, 1971"
Columbina inca,Inca Dove,Y,39.3,9,NA,400.5,4.2,R,Lasiewski and Seymour 1972
Baeolophus ridgwayi,Juniper Titmouse,N,16,24,177.8,1179.1,4.8,R,Cooper and Gessaman 2004
Spilopelia senegalensis,laughing dove,Y,89.4,33,3600,702.5,4.9,A,McKechnie et al. 2016
Carduelis psaltria,Lesser Goldfinch,Y,9.7,32,180,390,3.8,A,Smith et al. 2017
Chordeiles acutipennis,Lesser Nighthawk,N,50.6,21,200,683.4,4.7,A,Talbot et al. 2017
Coracias caudatus,Lilac-breasted Roller,N,95.4,10,850,1645.6,5.6,A,Smit et al. 2017
