"filename","samplingrate","bit","duration","channels","index","fft_w","min_freq","max_freq","left_channel","right_channel","aru","year","month","day","hour","min","second","date","time","date_time"
"20210517_113000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.11527997455021,"NA ","aru04","2021","05","17","11","30","00","2021-05-17","11:30:00",2021-05-17 11:30:00
"20210517_114000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.36646416833691,"NA ","aru04","2021","05","17","11","40","00","2021-05-17","11:40:00",2021-05-17 11:40:00
"20210517_115000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.95301276101349,"NA ","aru04","2021","05","17","11","50","00","2021-05-17","11:50:00",2021-05-17 11:50:00
"20210517_120000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.67125748920083,"NA ","aru04","2021","05","17","12","00","00","2021-05-17","12:00:00",2021-05-17 12:00:00
"20210517_121000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.84739657401294,"NA ","aru04","2021","05","17","12","10","00","2021-05-17","12:10:00",2021-05-17 12:10:00
"20210517_122000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.10951847695251,"NA ","aru04","2021","05","17","12","20","00","2021-05-17","12:20:00",2021-05-17 12:20:00
"20210517_123000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.66635728058712,"NA ","aru04","2021","05","17","12","30","00","2021-05-17","12:30:00",2021-05-17 12:30:00
"20210517_124000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.53305316187985,"NA ","aru04","2021","05","17","12","40","00","2021-05-17","12:40:00",2021-05-17 12:40:00
"20210517_125000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.11294071297335,"NA ","aru04","2021","05","17","12","50","00","2021-05-17","12:50:00",2021-05-17 12:50:00
"20210518_050000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.09569029126879,"NA ","aru04","2021","05","18","05","00","00","2021-05-18","05:00:00",2021-05-18 05:00:00
"20210518_051000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.578814830268,"NA ","aru04","2021","05","18","05","10","00","2021-05-18","05:10:00",2021-05-18 05:10:00
"20210518_052000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.11604511399812,"NA ","aru04","2021","05","18","05","20","00","2021-05-18","05:20:00",2021-05-18 05:20:00
"20210518_053000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.00792815540599,"NA ","aru04","2021","05","18","05","30","00","2021-05-18","05:30:00",2021-05-18 05:30:00
"20210518_054000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.44477844877137,"NA ","aru04","2021","05","18","05","40","00","2021-05-18","05:40:00",2021-05-18 05:40:00
"20210518_055000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.10845236752886,"NA ","aru04","2021","05","18","05","50","00","2021-05-18","05:50:00",2021-05-18 05:50:00
