Station_ID, Name, Latitude, Longitude, Elevation (ft), Date_Time (UTC),Peak_Wind Direction (Degrees), Peak_Wind Speed (mph), Wind Direction 10m (deg), Wind Gust 10m (kn), Wind Speed 10m (kn), 
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:51:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:55:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:00:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:05:00Z,null,null,210,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:10:00Z,null,null,210,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:15:00Z,null,null,210,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:20:00Z,null,null,210,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:25:00Z,null,null,220,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:30:00Z,null,null,220,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:35:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:40:00Z,null,null,220,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:45:00Z,null,null,220,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:50:00Z,null,null,220,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:51:00Z,null,null,220,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T13:55:00Z,null,null,200,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:00:00Z,null,null,220,,13,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:05:00Z,null,null,200,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:10:00Z,null,null,190,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:15:00Z,null,null,200,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:20:00Z,null,null,220,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:25:00Z,null,null,220,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:30:00Z,null,null,210,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:35:00Z,null,null,230,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:40:00Z,null,null,220,,13,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:45:00Z,null,null,210,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:50:00Z,null,null,200,,13,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:51:00Z,null,null,210,18,12,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T14:55:00Z,null,null,220,15,10,
