filename,samplingrate,bit,duration,channels,index,fft_w,min_freq,max_freq,j,left_channel,right_channel,aru,year,month,day,hour,min,second,date,time,date_time,site
20210522_072000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1276.979131,NA ,aru01,sswma,,,,,,,,,
20210522_073000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1291.199394,NA ,aru01,sswma,,,,,,,,,
20210522_074000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1260.844491,NA ,aru01,sswma,,,,,,,,,
20210522_075000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1317.98348,NA ,aru01,sswma,,,,,,,,,
20210522_080000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1280.919426,NA ,aru01,sswma,,,,,,,,,
20210522_081000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1284.111528,NA ,aru01,sswma,,,,,,,,,
20210522_082000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1274.068519,NA ,aru01,sswma,,,,,,,,,
20210522_083000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1271.867974,NA ,aru01,sswma,,,,,,,,,
20210522_084000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1256.70731,NA ,aru01,sswma,,,,,,,,,
20210522_085000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1261.922517,NA ,aru01,sswma,,,,,,,,,
20210522_090000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1227.56387,NA ,aru01,sswma,,,,,,,,,
20210522_091000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1246.374462,NA ,aru01,sswma,,,,,,,,,
20210522_092000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1259.199772,NA ,aru01,sswma,,,,,,,,,
20210522_093000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1230.309735,NA ,aru01,sswma,,,,,,,,,
20210522_094000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1248.409436,NA ,aru01,sswma,,,,,,,,,
20210522_095000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1281.71871,NA ,aru01,sswma,,,,,,,,,
20210522_100000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1269.998819,NA ,aru01,sswma,,,,,,,,,
20210522_101000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1257.208442,NA ,aru01,sswma,,,,,,,,,
20210522_102000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1233.08137,NA ,aru01,sswma,,,,,,,,,
20210522_103000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1243.193686,NA ,aru01,sswma,,,,,,,,,
20210522_104000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1232.737295,NA ,aru01,sswma,,,,,,,,,
20210522_105000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1228.564405,NA ,aru01,sswma,,,,,,,,,
20210522_110000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1241.941492,NA ,aru01,sswma,,,,,,,,,
20210522_111000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1275.750989,NA ,aru01,sswma,,,,,,,,,
20210522_112000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1499.240941,NA ,aru01,sswma,,,,,,,,,
20210522_113000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1239.477409,NA ,aru01,sswma,,,,,,,,,
20210522_114000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1246.917169,NA ,aru01,sswma,,,,,,,,,
20210522_115000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1234.862387,NA ,aru01,sswma,,,,,,,,,
20210522_120000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1229.934209,NA ,aru01,sswma,,,,,,,,,
20210522_121000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1228.147931,NA ,aru01,sswma,,,,,,,,,
20210522_122000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1295.035752,NA ,aru01,sswma,,,,,,,,,
20210522_123000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1240.337029,NA ,aru01,sswma,,,,,,,,,
20210522_124000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1277.472973,NA ,aru01,sswma,,,,,,,,,
20210522_125000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1266.567181,NA ,aru01,sswma,,,,,,,,,
20210523_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1259.195346,NA ,aru01,sswma,,,,,,,,,
20210523_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1311.770466,NA ,aru01,sswma,,,,,,,,,
20210523_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1272.465819,NA ,aru01,sswma,,,,,,,,,
